Date,Value
2012-02-06,24
2012-02-07,33
2012-02-08,10
2012-02-09,17
2012-02-10,20
2012-02-11,28
2012-02-12,18
2012-02-13,27
2012-02-14,20
2012-02-15,22
2012-02-16,21
2012-02-17,20
2012-02-18,24
2012-02-19,28
2012-02-20,25
2012-02-21,23
2012-02-22,27
2012-02-23,17
2012-02-24,20
2012-02-25,7
2012-02-26,9
2012-02-27,22
2012-02-28,18
2012-02-29,21
2012-03-01,21
2012-03-02,15
2012-03-01,14
2012-03-02,14
2012-03-03,22
2012-03-04,27
2012-03-05,19
2012-03-06,25
2012-03-07,15
2012-03-08,12
2012-03-09,28
2012-03-10,18
2012-03-11,26
2012-03-12,41
2012-03-13,17
2012-03-14,31
2012-03-15,20
2012-03-16,22
2012-03-17,33
2012-03-18,33
2012-03-19,21
2012-03-20,30
2012-03-21,17
2012-03-22,24
2012-03-23,20
2012-03-24,31
2012-03-25,40
2012-03-26,25
2012-03-27,68
2012-03-28,36
2012-03-29,28
2012-03-30,21
2012-03-31,27
2012-04-01,51
2012-04-02,34
2012-04-03,25
2012-04-04,28
2012-04-05,23
2012-04-06,31
2012-04-07,25
2012-04-08,16
2012-04-09,27
2012-04-10,39
2012-04-11,29
2012-04-12,26
2012-04-13,23
2012-04-14,32
2012-04-15,31
2012-04-16,23
2012-04-17,34
2012-04-18,26
2012-04-19,34
2012-04-20,35
2012-04-21,23
2012-04-22,31
2012-04-23,32
2012-04-24,32
2012-04-25,20
2012-04-26,22
2012-04-27,30
2012-04-28,42
2012-04-29,30
2012-05-01,23
2012-05-02,24
2012-05-03,19
2012-05-04,11
2012-05-05,27
2012-05-06,25
2012-05-07,29
2012-05-08,33
2012-05-09,30
2012-05-10,17
2012-05-11,20
2012-05-12,46
2012-05-13,25
2012-05-14,28
2012-05-15,22
2012-05-16,29
2012-05-17,27
2012-05-18,23
2012-05-19,33
2012-05-20,25
2012-05-21,31
2012-05-22,40
2012-05-23,22
2012-05-24,15
2012-05-25,23
2012-05-26,22
2012-05-27,36
2012-05-28,38
2012-05-29,17
2012-05-30,34
2012-05-31,21
2012-06-01,21
2012-06-02,25
2012-06-03,23
2012-06-04,32
2012-06-05,41
2012-06-06,26
2012-06-07,32
2012-06-08,24
2012-06-09,41
2012-06-10,24
2012-06-11,27
2012-06-12,37
2012-06-13,33
2012-06-14,47
2012-06-15,24
2012-06-16,31
2012-06-17,44
2012-06-18,41
2012-06-19,41
2012-06-20,30
2012-06-21,35
2012-06-22,30
2012-06-23,20
2012-06-24,42
2012-06-25,39
2012-06-26,44
2012-06-27,21
2012-06-28,25
2012-06-29,34
2012-06-30,33
2012-07-01,43
2012-07-02,31
2012-07-03,37
2012-07-04,47
2012-07-05,42
2012-07-06,34
2012-07-07,39
2012-07-08,34
2012-07-09,24
2012-07-10,34
2012-07-11,32
2012-07-12,23
2012-07-13,19
2012-07-14,38
2012-07-15,44
2012-07-16,39
2012-07-17,26
2012-07-18,39
2012-07-19,16
2012-07-20,25
2012-07-21,33
2012-07-22,27
2012-07-23,33
2012-07-24,46
2012-07-25,35
2012-07-26,21
2012-07-27,24
2012-07-28,33
2012-07-29,43
2012-07-30,34
2012-07-31,32
2012-08-01,35
2012-08-02,23
2012-08-03,23
2012-08-04,38
2012-08-05,38
2012-08-06,35
2012-08-07,38
2012-08-08,36
2012-08-09,36
2012-08-10,37
2012-08-11,41
2012-08-12,39
2012-08-13,49
2012-08-14,34
2012-08-15,43
2012-08-16,26
2012-08-17,24
2012-08-18,43
2012-08-19,52
2012-08-20,36
2012-08-21,31
2012-08-22,39
2012-08-23,39
2012-08-24,23
2012-08-25,39
2012-08-26,28
2012-08-27,38
2012-08-28,44
2012-08-29,15
2012-08-30,28
2012-09-01,35
2012-09-02,36
2012-09-03,44
2012-09-04,34
2012-09-05,30
2012-09-06,51
2012-09-07,33
2012-09-08,38
2012-09-09,35
2012-09-10,40
2012-09-11,45
2012-09-12,44
2012-09-13,32
2012-09-14,28
2012-09-15,33
2012-09-16,43
2012-09-17,38
2012-09-18,37
2012-09-19,50
2012-09-20,37
2012-09-21,37
2012-09-22,33
2012-09-23,34
2012-09-24,41
2012-09-25,53
2012-09-26,36
2012-09-27,39
2012-09-28,34
2012-09-29,19
2012-09-30,27
2012-10-01,42
2012-10-01,37
2012-10-02,41
2012-10-03,49
2012-10-04,40
2012-10-05,34
2012-10-06,41
2012-10-07,43
2012-10-08,58
2012-10-09,67
2012-10-10,78
2012-10-11,25
2012-10-12,45
2012-10-13,43
2012-10-14,73
2012-10-15,41
2012-10-16,48
2012-10-17,50
2012-10-18,34
2012-10-19,39
2012-10-20,41
2012-10-21,57
2012-10-22,48
2012-10-23,45
2012-10-24,48
2012-10-25,46
2012-10-26,47
2012-10-27,47
2012-10-28,45
2012-10-29,49
2012-10-30,47
2012-10-31,44
2012-11-01,33
2012-11-02,36
2012-11-03,43
2012-11-04,53
2012-11-05,37
2012-11-06,43
2012-11-07,43
2012-11-08,31
2012-11-09,48
2012-11-10,48
2012-11-11,50
2012-11-12,57
2012-11-13,40
2012-11-14,51
2012-11-15,42
2012-11-16,40
2012-11-17,60
2012-11-18,57
2012-11-19,55
2012-11-20,59
2012-11-21,41
2012-11-22,26
2012-11-23,39
2012-11-24,43
2012-11-25,47
2012-11-26,45
2012-11-27,44
2012-11-28,47
2012-11-29,41
2012-11-30,33
2012-12-01,49
2012-12-02,57
2012-12-03,42
2012-12-04,50
2012-12-05,45
2012-12-06,36
2012-12-07,38
2012-12-08,55
2012-12-09,49
2012-12-10,53
2012-12-11,46
2012-12-12,43
2012-12-13,48
2012-12-14,32
2012-12-15,56
2012-12-16,65
2012-12-17,49
2012-12-18,57
2012-12-19,65
2012-12-20,34
2012-12-21,35
2012-12-22,68
2012-12-23,52
2012-12-24,52
2012-12-25,62
2012-12-26,57
2012-12-27,33
2012-12-28,34
2012-12-29,63
2012-12-30,73
2012-12-31,49
2013-01-01,54
2013-01-02,63
2013-01-03,44
2013-01-04,41
2013-01-05,45
2013-01-06,65
2013-01-07,40
2013-01-08,56
2013-01-09,59
2013-01-10,47
2013-01-11,44
2013-01-12,66
2013-01-13,63
2013-01-14,55
2013-01-15,85
2013-01-16,61
2013-01-17,53
2013-01-18,61
2013-01-19,47
2013-01-20,80
2013-01-21,63
2013-01-22,64
2013-01-23,37
2013-01-24,60
2013-01-25,51
2013-01-26,58
2013-01-27,55
2013-01-28,62
2013-01-29,52
2013-01-30,43
2013-02-01,43
2013-02-02,38
2013-02-03,54
2013-02-04,68
2013-02-05,59
2013-02-06,60
2013-02-07,65
2013-02-08,48
2013-02-09,50
2013-02-10,62
2013-02-11,61
2013-02-12,56
2013-02-13,68
2013-02-14,54
2013-02-15,46
2013-02-16,39
2013-02-17,51
2013-02-18,61
2013-02-19,59
2013-02-20,68
2013-02-21,50
2013-02-22,37
2013-02-23,26
2013-02-24,36
2013-02-25,38
2013-02-26,52
